id,question,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10
1,Watch S3 Ultra กันน้ำได้กี่ ATM ครับ,3 ATM,IP68,5 ATM,IP67,10 ATM,20 ATM,IPX8,1 ATM,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
2,ปากกา SaiFah Pen Gen 2 ราคาเท่าไหร่คะ,"2,990 บาท","4,490 บาท","1,990 บาท","4,990 บาท","3,490 บาท","2,490 บาท","3,990 บาท","5,490 บาท",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
3,หูฟัง HeadPro X1 ใช้ Bluetooth เวอร์ชันอะไรคะ,Bluetooth 5.0,Bluetooth 5.3,Bluetooth 5.4,Bluetooth 4.2,Bluetooth 5.2,Bluetooth 5.1,Bluetooth 4.0,Bluetooth 5.5,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
4,อยากเอามือถือเครื่องเก่ามาเทิร์น เปลี่ยนเป็นเครื่องใหม่ที่ฟ้าใหม่ได้ไหม?,ได้ ลดราคาสูงสุด 30%,ได้ เฉพาะสมาร์ทโฟนสายฟ้าเท่านั้น,ได้ ต้องเป็นสมาชิก Gold ขึ้นไป,ได้ เฉพาะสินค้าที่ซื้อจากฟ้าใหม่,"ได้ แต่ต้องซื้อเครื่องใหม่ราคาเกิน 10,000 บาท",ไม่มีบริการ Trade-in ในขณะนี้,ได้ เฉพาะช่วง Mega Sale,ได้ ต้องนำไปที่สาขาเท่านั้น,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
5,สั่งของจากฟ้าใหม่ สั่งได้ครั้งละกี่ชิ้นครับ,ไม่จำกัดจำนวน,5 รายการ,20 รายการ,15 รายการ,3 รายการ,10 รายการ,50 รายการ,8 รายการ,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
6,ฟ้าใหม่จ่ายด้วย crypto ได้มั้ยคะ เช่น Bitcoin,รับเฉพาะ Bitcoin,รับเฉพาะ Ethereum,รับ crypto ทุกประเภท,ไม่รับ crypto แต่รับ FahMai Coin,"รับ crypto เฉพาะสินค้าราคาเกิน 10,000 บาท",รับ crypto เฉพาะสมาชิก Platinum,รับ crypto เฉพาะช่วงโปรโมชัน,ไม่รับชำระด้วย Cryptocurrency ทุกประเภท,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
7,ซื้อ AirBook 14 มาแล้ว อยากรู้ว่าในกล่องมีอะไรมาบ้าง,"ตัวเครื่อง, หัวชาร์จ 65W, สาย USB-C 1.8m, คู่มือ, ผ้าเช็ดหน้าจอ","ตัวเครื่อง, หัวชาร์จ 65W, สาย USB-C 1.8m, คู่มือ, เมาส์ไร้สาย","ตัวเครื่อง, หัวชาร์จ 65W, สาย USB-C 1m, คู่มือ, ผ้าเช็ดหน้าจอ, กระเป๋า","ตัวเครื่อง, หัวชาร์จ 100W, สาย USB-C 1.8m, คู่มือ, ผ้าเช็ดหน้าจอ","ตัวเครื่อง, หัวชาร์จ 45W, สาย USB-C 1.8m, คู่มือ, หูฟัง","ตัวเครื่อง, หัวชาร์จ 65W, สาย USB-C 1.8m, คู่มือ, ผ้าเช็ดหน้าจอ, Hub USB-C","ตัวเครื่อง, หัวชาร์จ 65W, สาย HDMI, คู่มือ, ผ้าเช็ดหน้าจอ","ตัวเครื่อง, หัวชาร์จ 65W, สาย USB-C 1.8m, คู่มือ",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
8,DuoPad สั่งซื้อได้เลยไหมครับ หรือต้องพรีออเดอร์,มีสินค้าพร้อมส่ง สั่งได้เลย,สิน  ค้าหมด ต้องรอ restock,เป็นสินค้า Clearance ลดราคา,ยังเป็นสินค้าสั่งจองล่วงหน้า (Pre-order),สินค้าถูกยกเลิกแล้ว,เป็นสินค้า Limited Edition ขายหมดแล้ว,สินค้ามีจำหน่ายเฉพาะหน้าร้าน,สินค้าอยู่ระหว่างการพัฒนา,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
9,เฮ้ยย อ่านเยอะมากเลย ขอถามนิดนึงนะคะ คือพอดีว่าจะไปเที่ยวภูเก็ตกับเพื่อนสนิท 3 คนช่วงวันหยุดยาวเดือนหน้า จองโรงแรม Kata Beach Resort ไว้แล้ว 3 คืน เพื่อนบอกว่าตรงนั้นมีจุดดำน้ำดูปะการังสวยมากชื่อ Freedom Beach ต้องนั่งเรือหางยาวไป ค่าเรือคนละ 800 บาท แล้วก็มีร้านอาหารทะเลอร่อยชื่อ No.6 Restaurant ที่ป่าตอง เพื่อนแนะนำให้ลองกุ้งมังกรเผา แล้วก็พอดีว่าเราชอบถ่ายรูปใต้น้ำด้วย เพื่อนอีกคนบอกว่าเคยเอามือถือกันน้ำไปถ่าย ได้ภาพสวยมาก เลยอยากรู้ว่าสายฟ้า Rugged R1 กันน้ำระดับไหนคะ เอาไปดำน้ำถ่ายรูปใต้ทะเลได้มั้ย แล้วถ้าน้ำเค็มเข้าเครื่องประกันคุ้มครองมั้ย,Rugged R1 กันน้ำระดับ IP69K กันฝุ่นสมบูรณ์ ทนน้ำร้อน 80 องศา ดำน้ำได้ลึก 40 เมตร ทนแรงดันสูง พร้อม MIL-STD-810H 14 การทดสอบ ทนตก 1.8 เมตร กระจก Gorilla Glass Victus,Rugged R1 กันน้ำระดับ IP68 (1.5 เมตร 30 นาที) กันฝุ่นสมบูรณ์ พร้อม MIL-STD-810H 14 การทดสอบ ทนตก 1.8 เมตร กระจก Gorilla Glass Victus แต่น้ำเค็มเข้าเครื่องไม่คุ้มครอง,Rugged R1 กันน้ำระดับ IP69K ดำน้ำลึกได้ถึง 10 เมตร พร้อม Gorilla Glass Victus และน้ำเข้าเครื่องเคลมประกันได้ 1 ปี,Rugged R1 กันน้ำระดับ IP69K (สูงสุด กันน้ำแรงดันสูง) ทนน้ำร้อน 80 องศา พร้อม MIL-STD-810H แต่ IP69K ไม่ได้ออกแบบสำหรับดำน้ำลึก และความเสียหายจากน้ำไม่ครอบคลุมประกัน,Rugged R1 กันน้ำระดับ IP69K ทนน้ำร้อน 80 องศา กันฝุ่นสมบูรณ์ พร้อม MIL-STD-810H 14 การทดสอบ และประกันครอบคลุมน้ำเข้าเครื่อง 1 ปี,Rugged R1 กันน้ำระดับ IP54 กันน้ำกระเซ็นเท่านั้น พร้อม MIL-STD-810H ทนตก 1.8 เมตร Gorilla Glass Victus ไม่ควรเอาไปดำน้ำ,Rugged R1 กันน้ำระดับ IP67 (1 เมตร 30 นาที) พร้อม MIL-STD-810H 14 การทดสอบ ทนตก 1.8 เมตร และประกันครอบคลุมน้ำเข้าถ้ามี MIL-STD,Rugged R1 กันน้ำระดับ IP69K ทนน้ำร้อน 80 องศา พร้อม MIL-STD-810H 14 การทดสอบ แต่ต้องซื้อ Care+ เพิ่ม 30% ของราคาเครื่อง ถึงจะคุ้มครองน้ำเข้า,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
10,อยากใช้ซิม 2 ค่ายพร้อมกันครับ ใส่ซิมได้ 2 ใบมั้ย ไม่อยากพกมือถือ 2 เครื่อง มองอยู่รุ่น X9 Pro,X9 Pro ใส่ได้ 2 ซิม แบบ nanoSIM + microSIM,X9 Pro ใส่ได้ 2 ซิมพร้อมกัน แบบ Dual nanoSIM (ใส่ซิมจริง 2 ใบ),X9 Pro ใส่ซิมได้แค่ 1 ใบ ต้องเลือกรุ่น X9 Pro Max ถ้าต้องการ 2 ซิม,X9 Pro ใส่ได้ 2 eSIM พร้อมกัน ไม่มีช่องซิมจริง,X9 Pro ใส่ได้ 3 ซิม (eSIM + Dual nanoSIM),X9 Pro ใส่ได้ 2 ซิม แต่ต้องเลือกว่าจะใช้ 5G ได้แค่ซิมเดียว,X9 Pro ใส่ได้ 2 ซิมพร้อมกัน แบบ eSIM + nanoSIM (Dual SIM),X9 Pro ใส่ได้ 2 ซิม แต่ต้องใช้ 2 ซิมจากค่ายเดียวกัน,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
